,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
10,10,2025-11-11,@,SAC,W,122,108,,44,86,.512,13,33,.394,31,53,.585,.587,21,27,.778,15,33,48,24,6,2,13,19,41,85,.482,10,33,.303,31,52,.596,.541,16,23,.696,9,26,35,31,4,3,10,23
11,11,2025-11-12,@,LAC,W,130,116,,44,84,.524,13,34,.382,31,50,.620,.601,29,35,.829,11,31,42,22,9,3,12,14,41,84,.488,16,37,.432,25,47,.532,.583,18,19,.947,11,25,36,28,4,7,15,30
12,12,2025-11-15,@,MIN,W,123,112,,39,83,.470,14,29,.483,25,54,.463,.554,31,38,.816,10,37,47,29,9,6,13,19,41,88,.466,10,34,.294,31,54,.574,.523,20,23,.870,8,32,40,23,9,7,13,27
13,13,2025-11-17,,CHI,L,127,130,,46,97,.474,14,36,.389,32,61,.525,.546,21,25,.840,13,40,53,21,6,5,8,14,48,102,.471,19,53,.358,29,49,.592,.564,15,19,.789,13,40,53,31,5,4,9,18
14,14,2025-11-19,@,NOP,W,125,118,,46,83,.554,11,31,.355,35,52,.673,.620,22,27,.815,9,32,41,35,8,1,20,26,44,98,.449,7,34,.206,37,64,.578,.485,23,31,.742,17,27,44,25,12,5,12,24
15,15,2025-11-21,@,HOU,W,112,109,,40,76,.526,11,29,.379,29,47,.617,.599,21,27,.778,11,27,38,28,8,7,15,20,41,93,.441,14,36,.389,27,57,.474,.516,13,20,.650,18,23,41,21,8,2,16,22
16,16,2025-11-22,,SAC,L,123,128,,45,92,.489,14,37,.378,31,55,.564,.565,19,23,.826,11,27,38,28,1,3,13,21,48,91,.527,10,30,.333,38,61,.623,.582,22,23,.957,9,28,37,32,8,3,7,20
17,17,2025-11-24,@,MEM,W,125,115,,46,91,.505,22,43,.512,24,48,.500,.626,11,14,.786,14,32,46,32,5,3,14,15,43,93,.462,16,47,.340,27,46,.587,.548,13,15,.867,11,29,40,33,6,4,11,16
18,18,2025-11-28,,SAS,L,136,139,,48,91,.527,16,39,.410,32,52,.615,.615,24,30,.800,14,30,44,27,5,5,17,22,46,94,.489,17,42,.405,29,52,.558,.580,30,32,.938,12,23,35,30,10,5,9,27
19,19,2025-11-29,@,PHO,W,130,112,,44,76,.579,22,38,.579,22,38,.579,.724,20,21,.952,10,30,40,36,2,5,17,20,39,88,.443,14,42,.333,25,46,.543,.523,20,26,.769,11,21,32,23,11,2,7,23
20,20,2025-12-01,,DAL,L,121,131,,47,99,.475,12,37,.324,35,62,.565,.535,15,18,.833,12,35,47,37,5,5,8,11,53,95,.558,16,31,.516,37,64,.578,.642,9,14,.643,7,36,43,35,4,4,8,19
21,21,2025-12-03,@,IND,W,135,120,,49,83,.590,17,28,.607,32,55,.582,.693,20,26,.769,5,33,38,23,6,5,11,21,42,81,.519,13,28,.464,29,53,.547,.599,23,29,.793,8,30,38,24,6,5,12,24
22,22,2025-12-05,@,ATL,W,134,133,,47,89,.528,16,37,.432,31,52,.596,.618,24,30,.800,9,33,42,28,9,6,12,15,49,95,.516,20,46,.435,29,49,.592,.621,15,16,.938,11,34,45,35,8,2,14,25
23,23,2025-12-07,@,CHO,W,115,106,,43,83,.518,13,35,.371,30,48,.625,.596,16,22,.727,5,30,35,29,8,2,10,19,38,85,.447,14,46,.304,24,39,.615,.529,16,21,.762,10,37,47,24,7,3,14,22
24,24,2025-12-11,@,SAC,W,136,105,,52,88,.591,12,29,.414,40,59,.678,.659,20,29,.690,10,36,46,35,9,0,12,18,39,87,.448,11,38,.289,28,49,.571,.511,16,23,.696,10,28,38,21,9,4,16,20
25,25,2025-12-15,,HOU,W,128,125,OT,43,85,.506,15,34,.441,28,51,.549,.594,27,33,.818,7,31,38,24,10,4,11,28,47,93,.505,12,25,.480,35,68,.515,.570,19,26,.731,12,34,46,29,7,8,16,25
26,26,2025-12-18,,ORL,W,126,115,,49,88,.557,16,36,.444,33,52,.635,.648,12,15,.800,5,35,40,31,7,3,15,18,43,91,.473,11,33,.333,32,58,.552,.533,18,26,.692,12,32,44,30,9,6,10,17
27,27,2025-12-20,,HOU,L,101,115,,37,92,.402,8,29,.276,29,63,.460,.446,19,23,.826,10,29,39,21,9,2,11,20,39,77,.506,19,35,.543,20,42,.476,.630,18,23,.783,9,38,47,24,6,8,19,20
28,28,2025-12-22,,UTA,W,135,112,,46,92,.500,24,47,.511,22,45,.489,.630,19,25,.760,9,42,51,37,8,7,11,17,41,96,.427,14,41,.341,27,55,.491,.500,16,19,.842,11,38,49,30,5,1,14,19
29,29,2025-12-23,@,DAL,L,130,131,,50,87,.575,20,41,.488,30,46,.652,.690,10,10,1.000,7,27,34,39,8,1,15,16,53,93,.570,11,27,.407,42,66,.636,.629,14,15,.933,11,25,36,34,9,2,11,12
30,30,2025-12-25,,MIN,W,142,138,OT,47,101,.465,19,43,.442,28,58,.483,.559,29,32,.906,11,34,45,31,6,5,17,18,51,104,.490,12,45,.267,39,59,.661,.548,24,30,.800,11,36,47,31,10,12,15,27
31,31,2025-12-27,@,ORL,L,126,127,,44,86,.512,11,29,.379,33,57,.579,.576,27,30,.900,15,34,49,27,5,3,16,23,46,89,.517,10,29,.345,36,60,.600,.573,25,37,.676,9,26,35,32,8,0,6,25
