,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
10,10,2025-11-09,@,GSW,L,83,114,,32,94,.340,11,39,.282,21,55,.382,.399,8,11,.727,14,39,53,21,7,6,22,25,38,88,.432,12,44,.273,26,44,.591,.500,26,37,.703,11,39,50,22,11,6,10,16
11,11,2025-11-11,@,UTA,L,128,152,,46,99,.465,10,37,.270,36,62,.581,.515,26,29,.897,15,20,35,29,6,6,8,26,51,92,.554,19,42,.452,32,50,.640,.658,31,35,.886,13,32,45,38,3,3,15,27
12,12,2025-11-13,@,PHO,L,98,133,,32,88,.364,7,25,.280,25,63,.397,.403,27,29,.931,16,25,41,20,4,3,12,22,49,85,.576,13,35,.371,36,50,.720,.653,22,27,.815,10,33,43,19,6,6,11,24
13,13,2025-11-15,,TOR,L,111,129,,37,87,.425,15,43,.349,22,44,.500,.511,22,27,.815,7,33,40,22,5,3,16,25,48,87,.552,7,30,.233,41,57,.719,.592,26,42,.619,8,38,46,29,13,3,14,20
14,14,2025-11-17,@,DET,L,112,127,,35,84,.417,9,31,.290,26,53,.491,.470,33,45,.733,20,23,43,19,8,5,21,26,48,88,.545,9,35,.257,39,53,.736,.597,22,30,.733,14,29,43,29,9,8,17,28
15,15,2025-11-19,,CHO,W,127,118,,46,85,.541,16,38,.421,30,47,.638,.635,19,23,.826,10,33,43,32,5,8,16,22,43,107,.402,13,45,.289,30,62,.484,.463,19,22,.864,22,26,48,28,7,2,13,18
16,16,2025-11-21,@,CLE,L,109,120,,37,88,.420,11,37,.297,26,51,.510,.483,24,26,.923,10,33,43,25,10,6,13,22,43,89,.483,13,35,.371,30,54,.556,.556,21,27,.778,14,38,52,28,5,8,14,22
17,17,2025-11-24,,DET,L,117,122,,39,82,.476,13,31,.419,26,51,.510,.555,26,34,.765,5,25,30,22,11,4,13,27,42,84,.500,9,25,.360,33,59,.559,.554,29,37,.784,14,31,45,24,8,4,17,27
18,18,2025-11-26,@,TOR,L,95,97,,35,78,.449,11,33,.333,24,45,.533,.519,14,23,.609,3,40,43,20,7,7,18,22,35,90,.389,5,26,.192,30,64,.469,.417,22,27,.815,12,36,48,18,9,4,13,19
19,19,2025-11-28,,WAS,W,119,86,,48,92,.522,13,34,.382,35,58,.603,.592,10,13,.769,10,40,50,27,9,8,16,16,33,84,.393,7,32,.219,26,52,.500,.435,13,20,.650,11,31,42,18,6,7,17,17
20,20,2025-11-29,,CHI,W,103,101,,41,89,.461,13,41,.317,28,48,.583,.534,8,11,.727,7,37,44,24,8,10,13,15,39,87,.448,14,34,.412,25,53,.472,.529,9,16,.563,8,37,45,24,5,3,13,14
21,21,2025-12-01,,CLE,L,119,135,,41,85,.482,10,30,.333,31,55,.564,.541,27,37,.730,14,22,36,19,5,6,14,22,50,98,.510,14,40,.350,36,58,.621,.582,21,29,.724,19,29,48,27,7,8,9,28
22,22,2025-12-03,,DEN,L,120,135,,42,81,.519,13,28,.464,29,53,.547,.599,23,29,.793,8,30,38,24,6,5,12,24,49,83,.590,17,28,.607,32,55,.582,.693,20,26,.769,5,33,38,23,6,5,11,21
23,23,2025-12-05,@,CHI,W,120,105,,45,84,.536,18,39,.462,27,45,.600,.643,12,16,.750,6,29,35,24,13,8,14,21,34,77,.442,13,35,.371,21,42,.500,.526,24,29,.828,11,35,46,21,7,2,19,15
24,24,2025-12-08,,SAC,W,116,105,,38,87,.437,14,35,.400,24,52,.462,.517,26,28,.929,10,31,41,25,14,7,14,15,41,88,.466,7,22,.318,34,66,.515,.506,16,23,.696,15,36,51,28,6,4,19,18
25,25,2025-12-12,@,PHI,L,105,115,,38,96,.396,13,38,.342,25,58,.431,.464,16,19,.842,12,34,46,26,6,4,7,27,35,79,.443,12,37,.324,23,42,.548,.519,33,43,.767,11,39,50,22,6,4,13,19
26,26,2025-12-14,,WAS,L,89,108,,31,84,.369,10,39,.256,21,45,.467,.429,17,21,.810,11,30,41,20,2,7,8,18,41,89,.461,10,28,.357,31,61,.508,.517,16,26,.615,17,39,56,19,5,3,11,21
27,27,2025-12-18,,NYK,L,113,114,,43,93,.462,11,34,.324,32,59,.542,.522,16,18,.889,16,36,52,22,8,6,14,20,43,92,.467,17,43,.395,26,49,.531,.560,11,19,.579,14,32,46,31,10,5,16,19
