,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
66,66,2026-03-09,,DEN,W,129,126,,47,93,.505,19,47,.404,28,46,.609,.608,16,21,.762,3,34,37,27,3,9,3,20,45,98,.459,15,37,.405,30,61,.492,.536,21,29,.724,16,40,56,29,3,3,8,20
67,67,2026-03-12,,BOS,W,104,102,,40,84,.476,11,44,.250,29,40,.725,.542,13,17,.765,11,28,39,22,7,4,12,18,35,87,.402,13,42,.310,22,45,.489,.477,19,20,.950,12,32,44,20,8,4,13,18
68,68,2026-03-15,,MIN,W,116,103,,42,101,.416,15,40,.375,27,61,.443,.490,17,19,.895,15,29,44,28,16,6,7,16,36,77,.468,15,33,.455,21,44,.477,.565,16,22,.727,8,38,46,18,5,5,25,19
69,69,2026-03-17,@,ORL,W,113,108,,40,90,.444,9,29,.310,31,61,.508,.494,24,27,.889,11,42,53,19,8,3,12,16,37,93,.398,17,50,.340,20,43,.465,.489,17,20,.850,10,31,41,21,8,2,12,19
70,70,2026-03-18,@,BRK,W,121,92,,45,85,.529,14,35,.400,31,50,.620,.612,17,22,.773,9,36,45,26,16,5,19,20,29,79,.367,11,35,.314,18,44,.409,.437,23,31,.742,11,30,41,17,8,4,23,21
71,71,2026-03-21,@,WAS,W,132,111,,50,93,.538,11,30,.367,39,63,.619,.597,21,30,.700,17,38,55,31,6,6,13,16,41,91,.451,16,39,.410,25,52,.481,.538,13,18,.722,9,25,34,28,8,3,15,26
72,72,2026-03-23,@,PHI,W,123,103,,48,90,.533,18,41,.439,30,49,.612,.633,9,10,.900,11,37,48,33,6,10,15,15,41,94,.436,17,46,.370,24,48,.500,.527,4,9,.444,12,32,44,29,10,3,18,12
73,73,2026-03-25,@,BOS,L,109,119,,38,80,.475,12,37,.324,26,43,.605,.550,21,26,.808,4,31,35,17,7,3,7,22,38,81,.469,18,41,.439,20,40,.500,.580,25,29,.862,7,36,43,25,5,4,13,21
74,74,2026-03-27,,CHI,W,131,113,,47,101,.465,14,45,.311,33,56,.589,.535,23,31,.742,15,43,58,29,9,9,10,19,41,98,.418,15,47,.319,26,51,.510,.495,16,21,.762,10,37,47,25,4,5,12,21
75,75,2026-03-29,,NYK,W,111,100,,35,75,.467,10,28,.357,25,47,.532,.533,31,38,.816,12,27,39,21,10,0,15,22,36,82,.439,15,35,.429,21,47,.447,.530,13,17,.765,15,26,41,19,8,3,19,25
76,76,2026-03-30,,DET,W,114,110,OT,38,81,.469,10,34,.294,28,47,.596,.531,28,32,.875,6,36,42,17,9,6,18,24,41,97,.423,16,43,.372,25,54,.463,.505,12,23,.522,15,31,46,30,12,8,16,28
77,77,2026-04-02,,LAL,W,139,96,,55,102,.539,19,42,.452,36,60,.600,.632,10,13,.769,13,37,50,32,12,5,10,18,34,79,.430,7,30,.233,27,49,.551,.475,21,27,.778,8,30,38,20,8,5,18,10
78,78,2026-04-05,,UTA,W,146,111,,54,92,.587,24,45,.533,30,47,.638,.717,14,16,.875,8,38,46,40,8,8,16,13,43,100,.430,14,39,.359,29,61,.475,.500,11,15,.733,14,29,43,29,11,3,16,13
79,79,2026-04-07,@,LAL,W,123,87,,45,89,.506,21,41,.512,24,48,.500,.624,12,14,.857,10,36,46,29,15,2,12,21,32,73,.438,9,26,.346,23,47,.489,.500,14,31,.452,8,30,38,26,7,3,17,12
80,80,2026-04-08,@,LAC,W,128,110,,48,83,.578,13,34,.382,35,49,.714,.657,19,24,.792,6,38,44,30,9,7,13,23,40,86,.465,14,32,.438,26,54,.481,.547,16,24,.667,10,26,36,27,9,3,13,18
81,81,2026-04-10,@,DEN,L,107,127,,42,99,.424,14,44,.318,28,55,.509,.495,9,12,.750,15,31,46,25,11,1,13,15,47,93,.505,21,43,.488,26,50,.520,.618,12,13,.923,10,39,49,28,10,7,17,10
82,82,2026-04-12,,PHO,L,103,135,,41,95,.432,18,46,.391,23,49,.469,.526,3,9,.333,9,27,36,32,9,7,10,8,56,101,.554,20,41,.488,36,60,.600,.653,3,6,.500,13,41,54,28,5,8,13,9
,,,,,64-18,9760,8846,,3534,7307,.484,1135,3111,.365,2399,4196,.572,.561,1557,1905,.817,784,2834,3618,2113,796,449,1031,1555,3170,7247,.437,1176,3189,.369,1994,4058,.491,.519,1330,1798,.740,973,2732,3705,2046,622,358,1372,1670
