,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
10,10,2025-11-10,,SAS,L,117,121,,41,93,.441,16,38,.421,25,55,.455,.527,19,23,.826,11,34,45,29,10,4,13,20,44,86,.512,10,33,.303,34,53,.642,.570,23,27,.852,9,38,47,30,10,7,15,17
11,11,2025-11-12,@,DET,L,113,124,,41,86,.477,12,33,.364,29,53,.547,.547,19,28,.679,12,32,44,21,11,6,21,18,50,90,.556,13,30,.433,37,60,.617,.628,11,16,.688,11,33,44,30,13,5,19,25
12,12,2025-11-16,@,UTA,L,147,150,2OT,49,108,.454,19,50,.380,30,58,.517,.542,30,32,.938,12,48,60,38,7,10,17,29,49,111,.441,18,49,.367,31,62,.500,.523,34,41,.829,12,41,53,29,13,6,9,28
13,13,2025-11-17,@,DEN,W,130,127,,48,102,.471,19,53,.358,29,49,.592,.564,15,19,.789,13,40,53,31,5,4,9,18,46,97,.474,14,36,.389,32,61,.525,.546,21,25,.840,13,40,53,21,6,5,8,14
14,14,2025-11-19,@,POR,W,122,121,,46,96,.479,21,49,.429,25,47,.532,.589,9,14,.643,7,31,38,36,10,9,16,26,44,107,.411,12,42,.286,32,65,.492,.467,21,32,.656,26,38,64,27,10,5,16,16
15,15,2025-11-21,,MIA,L,107,143,,37,90,.411,12,43,.279,25,47,.532,.478,21,28,.750,8,31,39,26,5,13,18,27,47,100,.470,14,38,.368,33,62,.532,.540,35,44,.795,15,38,53,35,13,7,10,22
16,16,2025-11-22,,WAS,W,121,120,,42,100,.420,12,44,.273,30,56,.536,.480,25,30,.833,17,37,54,26,5,5,10,15,44,96,.458,16,36,.444,28,60,.467,.542,16,20,.800,15,40,55,33,9,4,15,23
17,17,2025-11-24,@,NOP,L,130,143,,43,82,.524,20,50,.400,23,32,.719,.646,24,32,.750,4,29,33,29,4,3,17,21,53,104,.510,13,35,.371,40,69,.580,.572,24,35,.686,19,36,55,28,13,5,14,21
18,18,2025-11-28,@,CHO,L,116,123,,46,97,.474,8,36,.222,38,61,.623,.515,16,20,.800,10,34,44,31,8,1,11,18,44,97,.454,15,45,.333,29,52,.558,.531,20,24,.833,10,36,46,28,6,10,14,19
19,19,2025-11-29,@,IND,L,101,103,,39,87,.448,14,34,.412,25,53,.472,.529,9,16,.563,8,37,45,24,5,3,13,14,41,89,.461,13,41,.317,28,48,.583,.534,8,11,.727,7,37,44,24,8,10,13,15
20,20,2025-12-01,@,ORL,L,120,125,,44,88,.500,16,37,.432,28,51,.549,.591,16,22,.727,10,33,43,30,9,4,21,23,45,88,.511,9,33,.273,36,55,.655,.563,26,33,.788,12,34,46,25,12,11,18,16
21,21,2025-12-03,,BRK,L,103,113,,38,90,.422,7,30,.233,31,60,.517,.461,20,25,.800,11,31,42,20,14,1,16,15,38,78,.487,19,46,.413,19,32,.594,.609,18,22,.818,7,35,42,30,12,8,21,19
22,22,2025-12-05,,IND,L,105,120,,34,77,.442,13,35,.371,21,42,.500,.526,24,29,.828,11,35,46,21,7,2,19,15,45,84,.536,18,39,.462,27,45,.600,.643,12,16,.750,6,29,35,24,13,8,14,21
23,23,2025-12-07,,GSW,L,91,123,,32,89,.360,11,40,.275,21,49,.429,.421,16,19,.842,15,23,38,24,12,4,15,15,44,88,.500,22,47,.468,22,41,.537,.625,13,19,.684,15,36,51,27,11,2,17,16
24,24,2025-12-12,@,CHO,W,129,126,,52,94,.553,10,28,.357,42,66,.636,.606,15,19,.789,11,33,44,29,3,6,12,11,51,97,.526,16,37,.432,35,60,.583,.608,8,10,.800,8,24,32,30,5,3,9,19
25,25,2025-12-14,,NOP,L,104,114,,38,92,.413,13,49,.265,25,43,.581,.484,15,17,.882,13,30,43,26,10,4,13,24,43,93,.462,8,33,.242,35,60,.583,.505,20,25,.800,14,39,53,21,7,5,15,17
26,26,2025-12-17,,CLE,W,127,111,,50,89,.562,14,36,.389,36,53,.679,.640,13,18,.722,6,37,43,35,12,3,16,17,42,87,.483,12,39,.308,30,48,.625,.552,15,18,.833,8,32,40,26,6,3,20,16
27,27,2025-12-19,@,CLE,W,136,125,,53,102,.520,18,47,.383,35,55,.636,.608,12,15,.800,13,35,48,34,12,5,12,14,48,101,.475,14,39,.359,34,62,.548,.545,15,19,.789,13,33,46,31,10,1,15,17
28,28,2025-12-21,@,ATL,W,152,150,,53,92,.576,20,42,.476,33,50,.660,.685,26,39,.667,11,29,40,41,9,3,12,21,51,98,.520,23,47,.489,28,51,.549,.638,25,32,.781,6,29,35,39,6,7,10,25
29,29,2025-12-23,@,ATL,W,126,123,,46,91,.505,13,39,.333,33,52,.635,.577,21,28,.750,9,39,48,35,4,5,16,18,48,95,.505,14,42,.333,34,53,.642,.579,13,20,.650,6,32,38,38,9,4,12,24
30,30,2025-12-26,,PHI,W,109,102,,38,86,.442,14,41,.341,24,45,.533,.523,19,25,.760,12,40,52,31,3,6,12,18,35,93,.376,11,39,.282,24,54,.444,.435,21,24,.875,13,33,46,22,7,4,9,20
31,31,2025-12-27,,MIL,L,103,112,,39,93,.419,13,38,.342,26,55,.473,.489,12,16,.750,16,36,52,28,5,2,15,18,40,86,.465,13,36,.361,27,50,.540,.541,19,24,.792,11,36,47,22,12,3,12,16
