,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
65,65,2026-03-10,,DAL,W,124,112,,49,95,.516,14,36,.389,35,59,.593,.589,12,18,.667,13,32,45,29,8,8,10,18,41,86,.477,13,32,.406,28,54,.519,.552,17,22,.773,12,31,43,28,6,0,14,16
66,66,2026-03-12,,BRK,W,108,97,,35,89,.393,12,40,.300,23,49,.469,.461,26,35,.743,17,34,51,22,12,6,12,14,34,72,.472,12,35,.343,22,37,.595,.556,17,22,.773,4,35,39,19,5,6,20,29
67,67,2026-03-14,,MIL,W,122,99,,47,95,.495,14,38,.368,33,57,.579,.568,14,18,.778,15,32,47,29,10,1,13,19,37,76,.487,12,37,.324,25,39,.641,.566,13,18,.722,5,32,37,24,5,4,23,18
68,68,2026-03-16,,ORL,W,124,112,,43,93,.462,16,40,.400,27,53,.509,.548,22,29,.759,15,39,54,33,5,3,14,20,40,95,.421,14,43,.326,26,52,.500,.495,18,23,.783,8,32,40,20,9,3,11,19
69,69,2026-03-18,@,DAL,W,135,120,,55,102,.539,14,35,.400,41,67,.612,.608,11,14,.786,12,30,42,36,10,3,11,21,42,86,.488,11,28,.393,31,58,.534,.552,25,29,.862,11,32,43,26,8,6,19,12
70,70,2026-03-20,@,HOU,L,95,117,,36,85,.424,9,35,.257,27,50,.540,.476,14,17,.824,9,28,37,22,13,9,18,21,42,83,.506,14,30,.467,28,53,.528,.590,19,28,.679,12,39,51,33,11,5,20,13
71,71,2026-03-21,,GSW,W,126,110,,48,89,.539,13,40,.325,35,49,.714,.612,17,20,.850,9,32,41,28,10,4,18,17,41,82,.500,15,42,.357,26,40,.650,.591,13,17,.765,8,21,29,23,9,2,21,21
72,72,2026-03-23,,MEM,W,146,107,,49,92,.533,25,54,.463,24,38,.632,.668,23,25,.920,12,32,44,37,12,6,11,19,35,83,.422,14,43,.326,21,40,.525,.506,23,26,.885,6,28,34,20,9,4,23,20
73,73,2026-03-25,@,DET,W,130,129,OT,50,105,.476,18,52,.346,32,53,.604,.562,12,17,.706,18,32,50,31,8,1,20,19,52,102,.510,9,33,.273,43,69,.623,.554,16,19,.842,14,29,43,33,12,5,14,20
74,74,2026-03-27,@,BOS,L,102,109,,34,87,.391,15,42,.357,19,45,.422,.477,19,24,.792,10,25,35,23,6,4,4,21,38,81,.469,14,35,.400,24,46,.522,.556,19,23,.826,13,39,52,26,0,4,16,20
75,75,2026-03-28,,SAC,W,123,113,,45,89,.506,16,41,.390,29,48,.604,.596,17,22,.773,13,27,40,34,10,3,13,12,45,93,.484,12,32,.375,33,61,.541,.548,11,13,.846,16,26,42,27,7,1,15,18
76,76,2026-03-30,,BOS,W,112,102,,43,92,.467,15,38,.395,28,54,.519,.549,11,15,.733,9,36,45,28,7,6,11,21,35,85,.412,14,37,.378,21,48,.438,.494,18,26,.692,10,38,48,18,6,7,15,18
77,77,2026-04-01,@,ORL,W,130,101,,47,92,.511,15,37,.405,32,55,.582,.592,21,27,.778,11,40,51,27,15,6,17,29,35,88,.398,6,32,.188,29,56,.518,.432,25,31,.806,8,29,37,29,7,5,19,24
78,78,2026-04-03,@,BRK,W,141,107,,51,90,.567,20,39,.513,31,51,.608,.678,19,24,.792,8,33,41,36,11,9,13,18,39,79,.494,12,28,.429,27,51,.529,.570,17,20,.850,3,30,33,24,10,4,20,21
79,79,2026-04-06,,NYK,L,105,108,,38,95,.400,16,42,.381,22,53,.415,.484,13,17,.765,19,29,48,23,7,4,15,18,42,84,.500,11,33,.333,31,51,.608,.565,13,17,.765,12,35,47,29,9,7,17,14
80,80,2026-04-08,@,CLE,L,116,122,,47,98,.480,12,34,.353,35,64,.547,.541,10,15,.667,10,33,43,23,8,6,13,25,41,88,.466,12,33,.364,29,55,.527,.534,28,35,.800,10,37,47,22,6,6,11,14
81,81,2026-04-10,,CLE,W,124,102,,45,93,.484,16,44,.364,29,49,.592,.570,18,25,.720,14,32,46,27,12,4,13,18,39,86,.453,7,27,.259,32,59,.542,.494,17,18,.944,9,31,40,25,8,6,19,20
82,82,2026-04-12,@,MIA,L,117,143,,44,93,.473,17,44,.386,27,49,.551,.565,12,18,.667,13,33,46,31,3,2,17,17,58,103,.563,15,37,.405,43,66,.652,.636,12,17,.706,13,32,45,34,11,3,7,14
,,,,,46-36,9714,9516,,3575,7541,.474,1201,3237,.371,2374,4304,.552,.554,1363,1762,.774,900,2670,3570,2471,768,384,1162,1612,3473,7334,.474,1056,2973,.355,2417,4361,.554,.546,1514,1906,.794,914,2796,3710,2185,695,402,1317,1515
