,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
38,38,2026-01-09,,OKC,L,116,117,,41,88,.466,14,41,.341,27,47,.574,.545,20,24,.833,15,37,52,35,4,4,17,26,43,91,.473,9,37,.243,34,54,.630,.522,22,28,.786,10,26,36,24,9,8,6,22
39,39,2026-01-11,,BRK,W,103,98,,37,88,.420,11,34,.324,26,54,.481,.483,18,18,1.000,16,38,54,27,6,7,15,15,36,88,.409,18,48,.375,18,40,.450,.511,8,16,.500,13,30,43,25,10,6,10,17
40,40,2026-01-15,@,ORL,L,111,118,,38,83,.458,17,36,.472,21,47,.447,.560,18,21,.857,7,30,37,27,5,6,16,18,41,95,.432,15,40,.375,26,55,.473,.511,21,23,.913,19,35,54,28,9,4,16,15
41,41,2026-01-18,,ORL,W,126,109,,48,91,.527,13,35,.371,35,56,.625,.599,17,25,.680,9,33,42,31,12,7,12,18,42,95,.442,10,33,.303,32,62,.516,.495,15,16,.938,12,30,42,30,5,6,17,20
42,42,2026-01-21,,ATL,L,122,124,,43,93,.462,12,35,.343,31,58,.534,.527,24,27,.889,13,30,43,26,7,7,18,23,43,92,.467,20,45,.444,23,47,.489,.576,18,24,.750,11,31,42,34,9,6,17,24
43,43,2026-01-23,,NOP,L,127,133,,45,92,.489,18,47,.383,27,45,.600,.587,19,22,.864,14,33,47,34,4,10,19,23,46,99,.465,13,36,.361,33,63,.524,.530,28,33,.848,18,31,49,29,14,4,10,20
44,44,2026-01-26,@,HOU,L,99,108,,39,105,.371,7,37,.189,32,68,.471,.405,14,17,.824,21,31,52,26,9,5,13,21,41,92,.446,11,37,.297,30,55,.545,.505,15,20,.750,16,41,57,29,9,3,16,13
45,45,2026-01-28,,CHO,L,97,112,,37,81,.457,14,40,.350,23,41,.561,.543,9,12,.750,8,21,29,27,10,7,13,10,44,90,.489,17,42,.405,27,48,.563,.583,7,8,.875,13,30,43,25,5,1,20,11
46,46,2026-01-30,@,NOP,L,106,114,,40,93,.430,12,41,.293,28,52,.538,.495,14,15,.933,16,30,46,26,11,3,20,19,43,88,.489,8,33,.242,35,55,.636,.534,20,26,.769,14,28,42,24,13,6,16,16
47,47,2026-01-31,,MIN,L,114,131,,44,90,.489,10,37,.270,34,53,.642,.544,16,24,.667,13,30,43,29,8,4,15,16,47,89,.528,18,37,.486,29,52,.558,.629,19,24,.792,11,34,45,28,12,5,15,21
48,48,2026-02-02,,MIN,W,137,128,,44,88,.500,19,41,.463,25,47,.532,.608,30,35,.857,12,33,45,31,5,2,10,22,44,90,.489,16,41,.390,28,49,.571,.578,24,31,.774,13,27,40,24,4,7,9,25
