,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
45,45,2026-01-22,,MIA,W,127,110,,48,96,.500,20,50,.400,28,46,.609,.604,11,13,.846,14,36,50,26,10,5,20,17,43,94,.457,9,45,.200,34,49,.694,.505,15,19,.789,14,26,40,27,12,4,15,10
46,46,2026-01-23,,TOR,L,98,110,,39,98,.398,13,45,.289,26,53,.491,.464,7,10,.700,14,31,45,22,7,3,15,11,45,85,.529,9,29,.310,36,56,.643,.582,11,17,.647,10,36,46,28,7,9,16,17
47,47,2026-01-26,@,BOS,L,94,102,,32,78,.410,10,40,.250,22,38,.579,.474,20,30,.667,11,35,46,17,11,8,18,22,39,90,.433,13,34,.382,26,56,.464,.506,11,18,.611,10,31,41,24,11,4,17,21
48,48,2026-01-27,@,WAS,L,111,115,,42,109,.385,14,38,.368,28,71,.394,.450,13,23,.565,29,40,69,19,10,5,20,17,40,98,.408,17,39,.436,23,59,.390,.495,18,21,.857,14,32,46,27,16,12,14,17
49,49,2026-01-30,@,NYK,L,97,127,,35,81,.432,13,43,.302,22,38,.579,.512,14,19,.737,8,29,37,23,5,5,20,13,48,99,.485,19,45,.422,29,54,.537,.581,12,14,.857,16,36,52,29,9,3,14,21
50,50,2026-02-01,,CLE,L,111,130,,44,98,.449,14,44,.318,30,54,.556,.520,9,12,.750,17,30,47,24,7,5,23,17,50,91,.549,16,34,.471,34,57,.596,.637,14,19,.737,10,29,39,41,15,7,14,15
51,51,2026-02-03,,PHO,L,125,130,,47,95,.495,18,52,.346,29,43,.674,.589,13,18,.722,18,29,47,31,8,5,17,16,50,97,.515,20,41,.488,30,56,.536,.619,10,15,.667,18,27,45,26,13,2,11,19
52,52,2026-02-06,,MEM,W,135,115,,49,90,.544,17,42,.405,32,48,.667,.639,20,21,.952,12,34,46,31,9,7,18,17,42,88,.477,15,41,.366,27,47,.574,.563,16,21,.762,10,27,37,28,12,3,16,18
53,53,2026-02-07,,MEM,W,122,115,,46,95,.484,21,51,.412,25,44,.568,.595,9,14,.643,14,34,48,30,7,3,17,21,42,84,.500,16,38,.421,26,46,.565,.595,15,21,.714,5,31,36,19,14,6,15,15
54,54,2026-02-09,,PHI,W,135,118,,47,97,.485,22,54,.407,25,43,.581,.598,19,25,.760,20,31,51,36,8,7,18,25,38,81,.469,11,30,.367,27,51,.529,.537,31,36,.861,8,25,33,23,12,8,14,22
55,55,2026-02-11,@,MIN,L,109,133,,40,94,.426,16,45,.356,24,49,.490,.511,13,16,.813,18,32,50,23,4,4,26,22,45,87,.517,14,34,.412,31,53,.585,.598,29,35,.829,11,32,43,26,14,6,15,21
56,56,2026-02-12,@,UTA,W,135,119,,46,90,.511,18,46,.391,28,44,.636,.611,25,33,.758,19,33,52,26,7,7,21,23,42,87,.483,14,38,.368,28,49,.571,.563,21,29,.724,12,26,38,28,15,3,19,27
57,57,2026-02-20,,DEN,L,103,157,,35,86,.407,15,47,.319,20,39,.513,.494,18,29,.621,8,28,36,25,8,5,18,20,55,96,.573,21,41,.512,34,55,.618,.682,26,32,.813,13,47,60,41,12,3,16,22
58,58,2026-02-22,@,PHO,W,92,77,,38,81,.469,10,37,.270,28,44,.636,.531,6,11,.545,13,34,47,23,10,11,21,11,31,85,.365,9,35,.257,22,50,.440,.418,6,6,1.000,13,28,41,16,14,3,23,16
59,59,2026-02-24,,MIN,L,121,124,,42,89,.472,14,35,.400,28,54,.519,.551,23,30,.767,16,28,44,27,10,4,16,17,47,88,.534,17,35,.486,30,53,.566,.631,13,19,.684,13,28,41,26,14,8,16,25
