,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
55,55,2026-02-20,@,OKC,L,86,105,,29,79,.367,7,41,.171,22,38,.579,.411,21,26,.808,10,30,40,19,11,7,21,23,35,83,.422,13,35,.371,22,48,.458,.500,22,25,.880,13,34,47,22,11,4,19,19
56,56,2026-02-22,@,ATL,L,104,115,,38,85,.447,12,34,.353,26,51,.510,.518,16,22,.727,9,25,34,29,9,4,13,18,42,87,.483,13,33,.394,29,54,.537,.557,18,21,.857,15,37,52,28,10,4,17,16
57,57,2026-02-24,,DAL,L,114,123,,41,80,.513,13,32,.406,28,48,.583,.594,19,27,.704,5,23,28,29,11,2,11,21,48,82,.585,8,23,.348,40,59,.678,.634,19,24,.792,10,34,44,26,5,4,16,19
58,58,2026-02-26,,SAS,L,110,126,,41,89,.461,13,34,.382,28,55,.509,.534,15,17,.882,15,35,50,26,5,1,15,19,43,87,.494,17,42,.405,26,45,.578,.592,23,27,.852,10,29,39,36,13,5,9,19
59,59,2026-02-27,@,BOS,L,111,148,,43,88,.489,14,34,.412,29,54,.537,.568,11,16,.688,9,16,25,29,7,2,12,25,52,78,.667,22,34,.647,30,44,.682,.808,22,27,.815,7,32,39,38,9,7,12,17
60,60,2026-03-01,,CLE,L,102,106,,38,75,.507,11,32,.344,27,43,.628,.580,15,20,.750,3,29,32,27,10,4,17,28,34,70,.486,13,27,.481,21,43,.488,.579,25,37,.676,8,30,38,25,9,7,17,21
61,61,2026-03-03,@,MIA,L,98,124,,33,86,.384,6,32,.188,27,54,.500,.419,26,30,.867,10,28,38,24,6,5,19,19,45,91,.495,13,36,.361,32,55,.582,.566,21,24,.875,14,32,46,28,13,8,12,19
62,62,2026-03-05,@,MIA,L,110,126,,41,95,.432,16,41,.390,25,54,.463,.516,12,18,.667,21,28,49,30,9,2,20,19,48,91,.527,9,27,.333,39,64,.609,.577,21,24,.875,12,33,45,29,13,8,14,20
63,63,2026-03-07,@,DET,W,107,105,,35,80,.438,10,30,.333,25,50,.500,.500,27,28,.964,12,33,45,20,7,10,20,24,36,85,.424,10,26,.385,26,59,.441,.482,23,31,.742,11,26,37,21,14,6,14,22
64,64,2026-03-09,,MEM,W,126,115,,47,85,.553,17,33,.515,30,52,.577,.653,15,19,.789,10,33,43,35,10,9,20,21,40,92,.435,14,35,.400,26,57,.456,.511,21,25,.840,13,23,36,25,9,8,15,15
