,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
55,55,2026-01-29,,WSH,L,3,4,SO,21,4,0,4,0,23,8,0,2,0,23,27,46.0,42,39,51.9,25,25,50.0,50.0,94.6
56,56,2026-01-31,,COL,L,0,5,,28,6,0,2,0,21,6,0,2,0,32,27,54.2,48,46,51.1,36,34,51.4,62.5,76.2
57,57,2026-02-02,@,COL,W,2,0,,25,4,0,2,0,21,14,0,2,0,23,25,47.9,43,44,49.4,32,31,50.8,37.5,105.0
58,58,2026-02-04,@,UTA,L,1,4,,30,11,1,4,0,25,13,1,3,0,32,30,51.6,48,32,60.0,37,27,57.8,59.4,84.0
59,59,2026-02-26,@,OTT,W,2,1,OT,20,13,1,2,0,27,23,1,2,0,25,40,38.5,53,52,50.5,27,35,43.5,57.1,96.3
60,60,2026-02-28,@,CAR,L,2,5,,29,10,0,1,0,36,4,1,4,0,26,31,45.6,39,59,39.8,32,39,45.1,29.0,90.0
61,61,2026-03-02,@,NSH,W,4,2,,31,6,0,2,1,30,4,1,3,0,30,32,48.4,44,56,44.0,37,40,48.1,39.3,101.3
62,62,2026-03-04,,VEG,L,3,4,OT,26,4,0,4,0,25,8,1,2,0,31,25,55.4,35,49,41.7,25,35,41.7,29.6,100.7
63,63,2026-03-06,,FLA,L,1,3,,29,6,1,4,0,23,8,1,3,0,34,16,68.0,49,32,60.5,36,26,58.1,62.5,87.0
64,64,2026-03-08,@,NJD,W,3,0,,30,6,1,5,0,31,12,0,2,0,26,30,46.4,40,48,45.5,34,36,48.6,48.5,109.1
65,65,2026-03-10,@,FLA,L,3,4,,28,6,0,2,0,28,4,0,3,0,30,28,51.7,47,47,50.0,37,34,52.1,48.5,98.8
66,66,2026-03-12,@,TBL,L,1,4,,25,2,0,1,0,29,2,1,1,0,21,21,50.0,55,64,46.2,42,45,48.3,48.0,90.2
67,67,2026-03-14,@,DAL,L,2,3,OT,24,12,0,3,0,24,10,1,4,0,28,23,54.9,40,38,51.3,31,25,55.4,41.2,100.8
68,68,2026-03-16,,CGY,W,5,2,,25,13,1,4,0,27,17,0,2,0,19,28,40.4,25,42,37.3,19,30,38.8,40.0,115.7
69,69,2026-03-19,,MTL,W,3,1,,28,8,0,2,0,33,8,1,2,0,25,31,44.6,46,51,47.4,37,41,47.4,45.2,105.7
70,70,2026-03-21,,BOS,L,2,4,,44,6,1,4,0,27,8,1,3,0,33,22,60.0,46,33,58.2,38,24,61.3,63.6,88.8
71,71,2026-03-24,,OTT,L,2,3,,35,11,1,4,0,21,15,1,2,0,23,31,42.6,46,40,53.5,37,28,56.9,63.0,89.7
72,72,2026-03-27,@,BUF,W,5,2,,20,8,2,6,0,30,14,0,3,0,24,19,55.8,20,42,32.3,17,35,32.7,35.7,113.3
73,73,2026-03-28,,PHI,L,3,5,,35,16,0,2,0,26,6,2,2,0,28,34,45.2,45,37,54.9,34,28,54.8,36.0,89.1
74,74,2026-03-31,@,PIT,L,1,5,,23,13,1,1,0,32,9,0,3,0,32,29,52.5,52,51,50.5,37,39,48.7,60.6,84.4
75,75,2026-04-02,@,PHI,W,4,2,,19,2,1,2,0,34,4,0,1,0,25,25,50.0,33,59,35.9,25,48,34.2,30.4,112.9
76,76,2026-04-04,@,NYR,L,1,4,,33,9,0,4,0,20,13,1,2,0,22,34,39.3,52,37,58.4,36,23,61.0,63.0,85.3
77,77,2026-04-05,,MIN,L,4,5,,24,4,0,1,0,20,2,1,2,0,35,22,61.4,58,35,62.4,36,30,54.5,41.9,96.1
78,78,2026-04-07,,CBJ,L,3,4,SO,37,8,1,1,0,35,4,1,4,0,29,34,46.0,59,61,49.2,40,42,48.8,45.7,99.1
79,79,2026-04-09,,PHI,W,6,3,,22,16,3,4,1,27,12,1,6,0,28,26,51.9,26,37,41.3,15,28,34.9,50.0,96.6
80,80,2026-04-11,,NJD,L,3,5,,28,0,0,1,0,33,2,0,0,0,31,22,58.5,51,62,45.1,38,48,44.2,51.5,97.9
81,81,2026-04-13,@,TBL,L,3,4,OT,30,2,0,3,0,22,6,0,1,0,33,23,58.9,49,39,55.7,37,30,55.2,50.0,94.3
82,82,2026-04-15,@,FLA,L,1,8,,26,2,0,3,0,28,6,1,1,0,23,16,59.0,50,49,50.5,33,40,45.2,38.9,76.4
,,,,,41-31-10,241,258,,2315,629,56,248,3,2275,751,48,210,5,2363,2272,51.0,3753,3826,49.5,2734,2770,49.7,46.8,97.0
