,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
53,53,2026-01-27,,BUF,L,4,7,,23,4,0,0,0,31,0,1,2,0,35,17,67.3,50,53,48.5,30,40,42.9,50.0,95.6
54,54,2026-01-29,@,SEA,L,2,5,,31,4,1,3,0,22,6,0,2,0,25,33,43.1,46,29,61.3,35,24,59.3,55.2,82.0
55,55,2026-01-31,@,VAN,W,3,2,SO,41,2,0,0,0,30,2,0,0,0,27,27,50.0,81,45,64.3,58,37,61.1,58.3,99.0
56,56,2026-02-02,@,CGY,W,4,2,,22,4,0,0,0,30,2,0,1,0,28,17,62.2,46,65,41.4,29,41,41.4,37.0,105.8
57,57,2026-02-03,@,EDM,W,5,2,,27,9,2,2,0,36,21,0,1,0,29,25,53.7,38,61,38.4,32,44,42.1,31.4,103.5
58,58,2026-02-25,@,TBL,L,2,4,,34,8,1,2,0,36,4,0,4,0,34,28,54.8,39,59,39.8,31,45,40.8,54.8,88.9
59,59,2026-02-26,@,FLA,L,1,5,,30,8,1,3,0,37,8,1,3,1,23,29,44.2,41,52,44.1,33,41,44.6,57.1,86.5
60,60,2026-02-28,,OTT,L,2,5,,23,27,0,2,0,40,15,1,3,0,25,24,51.0,35,58,37.6,30,48,38.5,40.0,98.6
61,61,2026-03-02,,PHI,L,2,3,SO,31,6,1,3,0,25,6,1,3,0,32,22,59.3,42,35,54.5,30,22,57.7,63.6,97.3
62,62,2026-03-04,@,NJD,L,3,4,SO,27,6,1,3,0,47,6,0,3,0,26,24,52.0,38,57,40.0,30,49,38.0,50.0,104.1
63,63,2026-03-05,@,NYR,L,2,6,,32,4,0,1,0,24,2,1,2,0,30,26,53.6,44,56,44.0,36,33,52.2,53.1,82.4
64,64,2026-03-07,,TBL,L,2,5,,29,13,0,3,0,33,11,1,4,0,31,22,58.5,36,43,45.6,27,33,45.0,55.6,93.5
65,65,2026-03-10,@,MTL,L,1,3,,18,11,0,2,0,33,11,0,2,0,29,28,50.9,39,56,41.1,25,44,36.2,20.0,97.2
66,66,2026-03-12,,ANA,W,6,4,,28,46,3,7,1,40,41,0,5,0,30,23,56.6,25,53,32.1,22,43,33.8,57.1,96.7
67,67,2026-03-14,@,BUF,L,2,3,SO,18,19,0,2,0,33,15,1,4,0,27,24,52.9,33,59,35.9,25,42,37.3,36.0,106.4
68,68,2026-03-15,@,MIN,W,4,2,,26,8,0,1,0,38,6,0,2,0,29,26,52.7,38,67,36.2,28,49,36.4,50.0,109.0
