,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
49,49,2026-01-23,@,CHI,W,2,1,SO,31,11,0,3,0,18,11,0,3,0,20,18,52.6,58,30,65.9,47,21,69.1,73.7,98.3
50,50,2026-01-24,@,CBJ,L,5,8,,30,6,1,2,0,31,6,1,2,0,36,23,61.0,51,44,53.7,37,35,51.4,57.7,86.2
51,51,2026-01-26,,UTA,W,2,0,,29,17,2,4,0,28,19,0,3,0,25,27,48.1,32,51,38.6,27,35,43.5,40.0,100.0
52,52,2026-01-29,,WPG,W,4,1,,37,6,0,1,0,24,4,0,2,0,31,28,52.5,47,42,52.8,36,33,52.2,56.3,103.0
53,53,2026-02-01,,BOS,W,6,5,SO,46,15,3,8,0,34,25,1,3,0,39,29,57.4,46,42,52.3,33,33,50.0,67.9,94.0
54,54,2026-02-03,,BUF,W,4,3,OT,35,6,1,2,0,26,4,1,3,0,31,30,50.8,45,29,60.8,36,22,62.1,50.0,92.6
55,55,2026-02-05,,FLA,W,6,1,,28,91,1,4,0,34,76,1,6,0,25,31,44.6,31,51,37.8,26,38,40.6,32.0,123.4
56,56,2026-02-25,,TOR,W,4,2,,36,4,0,4,0,34,8,1,2,0,28,34,45.2,59,39,60.2,45,31,59.2,45.2,109.5
57,57,2026-02-26,@,CAR,L,4,5,,28,4,1,2,0,33,4,1,2,0,36,29,55.4,46,47,49.5,32,34,48.5,45.9,98.5
58,58,2026-02-28,,BUF,L,2,6,,38,28,0,3,0,35,12,1,5,0,33,31,51.6,53,35,60.2,43,30,58.9,70.8,89.3
59,59,2026-03-03,@,MIN,L,1,5,,25,20,0,3,0,22,8,1,5,0,25,27,48.1,42,37,53.2,26,27,49.1,42.9,82.5
60,60,2026-03-05,@,WPG,L,1,4,,27,4,1,2,0,30,4,0,2,0,27,34,44.3,45,51,46.9,32,36,47.1,39.5,86.7
61,61,2026-03-07,@,TOR,W,5,2,,33,11,1,4,0,29,13,0,3,0,22,31,41.5,44,35,55.7,33,27,55.0,44.4,104.6
62,62,2026-03-08,@,BUF,L,7,8,,28,57,1,2,0,42,45,4,7,1,32,32,50.0,46,40,53.5,33,35,48.5,21.7,109.5
63,63,2026-03-10,,CBJ,L,2,5,,18,15,0,3,0,32,13,2,4,0,31,24,56.4,35,40,46.7,18,34,34.6,50.0,101.0
64,64,2026-03-12,,DET,W,4,1,,29,2,1,1,0,25,2,0,1,0,21,21,50.0,67,55,54.9,45,42,51.7,52.0,104.0
65,65,2026-03-14,,CAR,L,2,4,,19,11,0,3,0,35,13,0,2,0,19,22,46.3,30,53,36.1,22,43,33.8,47.1,101.9
66,66,2026-03-17,@,SEA,W,6,2,,26,11,1,3,0,18,11,0,3,0,25,21,54.3,50,26,65.8,31,20,60.8,58.8,108.9
67,67,2026-03-19,@,VAN,W,6,2,,31,4,0,1,0,21,2,0,2,0,30,27,52.6,53,45,54.1,44,32,57.9,48.7,111.9
68,68,2026-03-21,@,EDM,W,5,2,,28,18,1,3,2,27,18,0,3,0,26,23,53.1,52,43,54.7,36,31,53.7,37.0,102.1
69,69,2026-03-22,@,CGY,L,3,4,OT,35,0,0,1,0,29,2,0,0,0,26,30,46.4,61,49,55.5,47,45,51.1,50.0,94.8
70,70,2026-03-24,,MIN,W,6,3,,25,20,3,4,0,24,20,2,4,0,29,32,47.5,57,36,61.3,40,29,58.0,50.0,97.5
71,71,2026-03-26,,SEA,L,3,4,OT,33,13,1,1,0,20,13,0,1,0,33,21,61.1,66,26,71.7,38,18,67.9,80.0,86.9
72,72,2026-03-28,,OTT,W,4,2,,27,6,0,4,0,28,10,0,2,0,29,35,45.3,61,43,58.7,40,34,54.1,57.6,113.9
73,73,2026-03-29,,NSH,W,3,2,,28,18,0,4,0,31,8,0,4,0,24,28,46.2,48,45,51.6,41,35,53.9,38.1,107.2
74,74,2026-03-31,,MTL,L,1,4,,37,30,0,4,0,23,32,1,3,1,28,33,45.9,43,33,56.6,31,25,55.4,51.7,87.0
75,75,2026-04-02,,PIT,W,6,3,,33,10,0,3,1,24,8,1,4,0,25,39,39.1,54,39,58.1,38,32,54.3,48.5,101.8
76,76,2026-04-04,,BOS,W,3,1,,23,8,0,1,0,22,2,0,4,0,18,40,31.0,39,49,44.3,28,37,43.1,45.2,106.6
77,77,2026-04-06,@,BUF,L,2,4,,25,12,1,5,0,30,14,0,4,0,31,28,52.5,37,33,52.9,30,27,52.6,56.0,92.2
78,78,2026-04-07,@,OTT,L,2,6,,30,8,0,2,0,32,6,2,3,1,39,25,60.9,54,49,52.4,42,40,51.2,51.2,88.1
79,79,2026-04-09,@,MTL,L,1,2,,18,71,0,4,0,21,55,0,7,0,20,22,47.6,20,32,38.5,12,23,34.3,63.6,90.5
80,80,2026-04-11,@,BOS,W,2,1,,24,4,0,1,0,21,4,0,1,0,16,26,38.1,44,50,46.8,28,38,42.4,46.4,103.9
81,81,2026-04-13,,DET,W,4,3,OT,22,6,0,1,0,30,2,0,3,0,23,33,41.1,40,49,44.9,30,37,44.8,50.0,105.0
82,82,2026-04-15,,NYR,L,2,4,,31,10,0,3,0,21,10,1,3,0,26,29,47.3,55,36,60.4,41,28,59.4,57.7,89.6
,,,,,50-26-6,290,231,,2305,1207,51,246,6,2188,1121,45,258,6,2151,2388,47.4,3822,3286,53.8,2741,2498,52.3,51.6,100.7
