,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
63,63,2026-03-08,@,PIT,L,4,5,OT,28,6,1,3,0,40,8,1,2,0,29,29,50.0,40,61,39.6,29,45,39.2,48.1,104.2
64,64,2026-03-10,,LAK,W,2,1,OT,23,9,0,4,0,16,13,0,2,0,27,22,55.1,52,53,49.5,36,42,46.2,55.2,99.0
65,65,2026-03-12,,SJS,L,2,4,,41,14,0,2,0,28,24,1,2,1,37,25,59.7,62,37,62.6,46,29,61.3,62.5,88.9
66,66,2026-03-14,@,WSH,W,3,2,SO,34,10,0,4,0,28,12,0,3,0,31,23,57.4,37,34,52.1,29,25,53.7,42.3,101.9
67,67,2026-03-16,@,NJD,L,3,4,OT,22,18,0,3,0,34,20,0,2,0,37,34,52.1,37,60,38.1,27,45,37.5,37.8,104.9
68,68,2026-03-17,@,MTL,L,2,3,OT,28,2,1,4,0,31,8,0,1,0,25,28,47.2,43,66,39.4,29,51,36.3,53.3,95.6
69,69,2026-03-19,,WPG,W,6,1,,27,8,0,1,0,24,2,1,4,0,30,20,60.0,43,46,48.3,35,37,48.6,50.0,119.8
70,70,2026-03-21,@,DET,W,4,2,,27,8,1,3,0,44,6,1,4,0,22,33,40.0,33,46,41.8,24,38,38.7,36.4,108.8
71,71,2026-03-24,,TOR,L,2,4,,20,16,1,5,0,35,17,2,4,1,43,23,65.2,30,36,45.5,24,32,42.9,44.4,96.3
72,72,2026-03-25,@,BUF,W,4,3,OT,31,10,0,2,0,25,8,2,3,0,33,29,53.2,54,42,56.3,41,28,59.4,61.3,98.0
73,73,2026-03-28,,MIN,W,6,3,,31,13,0,2,0,34,11,1,3,0,33,25,56.9,57,61,48.3,46,43,51.7,50.0,110.4
74,74,2026-03-29,@,CBJ,W,4,3,SO,39,16,2,4,0,25,20,1,2,0,32,27,54.2,56,38,59.6,36,27,57.1,51.5,92.0
75,75,2026-03-31,,DAL,W,6,3,,24,6,1,2,0,16,4,1,3,0,34,19,64.2,39,30,56.5,30,24,55.6,63.0,97.0
76,76,2026-04-02,@,FLA,L,1,2,,29,2,0,2,0,24,4,0,1,0,38,22,63.3,58,49,54.2,42,32,56.8,47.5,95.8
77,77,2026-04-04,@,TBL,L,1,3,,22,2,0,4,0,23,8,0,1,0,40,18,69.0,49,39,55.7,37,28,56.9,54.8,93.2
78,78,2026-04-05,@,PHI,L,1,2,OT,19,12,1,1,0,31,4,1,5,0,24,35,40.7,42,43,49.4,28,31,47.5,31.0,93.5
79,79,2026-04-07,@,CAR,L,5,6,OT,21,8,0,2,0,41,4,1,4,0,40,31,56.3,38,57,40.0,28,49,36.4,50.0,111.7
80,80,2026-04-11,,TBL,L,1,2,,21,4,0,1,0,24,4,0,1,0,26,16,61.9,53,41,56.4,38,28,57.6,53.6,97.5
81,81,2026-04-12,@,CBJ,W,3,2,,22,6,0,0,0,35,0,0,3,0,26,31,45.6,43,52,45.3,38,42,47.5,48.6,108.6
82,82,2026-04-14,,NJD,W,4,0,,26,2,0,0,0,21,0,0,1,0,36,20,64.3,51,59,46.4,41,39,51.3,36.1,115.4
,,,,,45-27-10,272,250,,2216,978,55,235,2,2435,861,64,278,9,2531,2239,53.1,3723,3796,49.5,2682,2775,49.1,46.8,100.5
