,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
63,63,2026-03-10,,TOR,W,3,1,,33,11,0,2,0,18,11,0,2,0,28,29,49.1,57,38,60.0,44,25,63.8,80.0,101.3
64,64,2026-03-11,@,OTT,W,3,2,,23,8,1,2,0,34,6,1,3,0,26,27,49.1,44,50,46.8,37,30,55.2,45.2,103.2
65,65,2026-03-14,,SJS,L,2,4,,27,2,0,3,0,22,6,0,1,0,37,24,60.7,48,44,52.2,36,37,49.3,55.9,91.3
66,66,2026-03-15,,ANA,L,3,4,,30,4,0,4,0,28,10,0,1,0,30,27,52.6,44,50,46.8,32,37,46.4,46.7,99.4
67,67,2026-03-17,,BOS,W,3,2,OT,31,8,0,1,0,28,2,1,4,0,28,25,52.8,68,40,63.0,51,29,63.8,46.7,101.2
68,68,2026-03-19,@,DET,L,1,3,,33,8,1,2,0,28,8,0,2,0,31,25,55.4,53,45,54.1,41,37,52.6,54.8,89.3
69,69,2026-03-21,,NYI,W,7,3,,36,28,3,4,0,22,30,2,3,0,26,26,50.0,58,38,60.4,45,23,66.2,45.5,101.2
70,70,2026-03-24,,CAR,W,5,2,,19,6,0,3,0,43,8,1,2,0,31,31,50.0,30,67,30.9,21,48,30.4,30.3,123.9
71,71,2026-03-26,,CBJ,W,2,1,,20,4,0,2,0,26,6,0,1,0,24,23,51.1,33,54,37.9,24,39,38.1,42.3,108.7
72,72,2026-03-28,@,NSH,W,4,1,,32,8,0,2,0,24,16,0,3,0,29,29,50.0,46,42,52.3,37,27,57.8,54.8,112.5
73,73,2026-03-29,@,CAR,W,3,1,,18,6,1,4,0,35,8,1,3,0,22,26,45.8,22,77,22.2,13,55,19.1,13.0,125.7
74,74,2026-03-31,@,TBL,W,4,1,,23,32,1,3,1,37,30,0,4,0,33,28,54.1,33,43,43.4,25,31,44.6,48.3,103.2
75,75,2026-04-02,@,NYR,W,3,2,,25,6,0,2,0,24,4,0,3,0,30,22,57.7,36,37,49.3,31,28,52.5,57.7,105.3
76,76,2026-04-04,@,NJD,W,4,3,SO,29,2,1,5,0,38,10,0,1,1,25,34,42.4,48,41,53.9,37,36,50.7,41.4,101.2
77,77,2026-04-05,,NJD,L,0,3,,18,11,0,4,0,20,45,0,2,0,23,29,44.2,45,36,55.6,27,27,50.0,68.0,85.0
78,78,2026-04-07,,FLA,W,4,3,SO,32,4,1,4,0,33,8,0,2,0,37,28,56.9,47,39,54.7,31,30,50.8,45.5,90.9
79,79,2026-04-09,,TBL,W,2,1,,21,55,0,7,0,18,71,0,4,0,22,20,52.4,34,20,63.0,23,12,65.7,36.4,109.8
80,80,2026-04-11,,CBJ,L,2,5,,22,12,1,4,0,33,12,1,4,0,24,30,44.4,37,53,41.1,28,37,43.1,58.3,91.5
81,81,2026-04-12,@,NYI,W,4,1,,22,6,1,2,0,33,6,0,2,0,22,25,46.8,36,53,40.4,25,41,37.9,33.3,118.4
82,82,2026-04-14,@,PHI,L,2,4,,29,4,0,3,0,25,10,0,0,0,29,22,56.9,42,32,56.8,32,27,54.2,64.3,92.3
,,,,,48-24-10,283,256,,2156,849,56,242,8,2283,887,54,248,4,2292,2204,51.0,3547,3666,49.2,2558,2617,49.4,49.1,100.3
